,fakeID,b_specialisation_i,b_specialisation_h,b_specialisation_g,b_specialisation_f,b_specialisation_e,b_specialisation_d,b_specialisation_c,b_specialisation_b,b_specialisation_a,b_specialisation_j,q_OpeningDays,q_2017 Average Household Size,q_2017 Total Households,q_2017 HHs: 5th Quintile (68.759 and above),q_5th Quint by Total HH,q_2017 Purchasing Power: Per Capita,q_2017 Total Population,"q_2017 Pop 15+/Edu: University, Fachhochschule",q_Uni by Total Pop,q_2017 Personal Care: Per Capita,q_2017 Medical Products: Per Capita,q_2017 Personal Effects: Per Capita,b_in_kontakt_gewesen,b_gekauft_gesamt,q_OpeningHours_manipulated,RF_prediction,UMAP1,UMAP2
9,151_4934,0,1,1,0,0,0,0,1,1,1,4,2.1,118470,19188,0.161965054,22865.72,247705,25735,0.103893745,581.96,346.16,234.65,1,1,21.0,1,-9.660327,6.8547635
58,195_6105,0,0,1,0,0,0,0,1,0,0,4,2.1,108948,17616,0.161691816,22848.55,227880,23179,0.101715815,582.23,346.35,234.69,1,1,35.0,1,-9.608999,6.952766
71,236_6486,1,0,1,0,0,0,0,1,1,0,5,2.2,139697,26819,0.191979785,23538.23,303265,35273,0.116310817,582.87,322.94,233.38,1,1,35.0,1,-9.666442,6.8517957
76,327_7717,0,0,1,0,0,0,0,1,0,1,0,2.4,47315,9654,0.204036775,22405.97,111666,6473,0.05796751,557.67,311.5,228.82,0,0,0.0,1,-9.402664,7.156507
259,719_5113,0,0,1,0,0,0,0,1,0,1,0,2.1,1051445,196142,0.186545183,23692.18,2209942,323405,0.146340945,592.37,325.93,235.42,0,0,0.0,1,-9.920072,6.4056754
515,469_6342,0,1,1,0,0,0,0,1,1,0,4,2.1,922614,167569,0.181624168,23495.75,1938122,271820,0.140249169,589.75,324.59,233.1,0,0,20.0,1,-9.889837,6.454392
565,428_3010,0,0,1,0,0,0,0,1,0,0,4,2.1,1035071,190856,0.184389283,23598.03,2173924,316984,0.145811905,591.44,324.79,234.18,0,0,25.0,1,-9.959207,6.3616033
780,31_1086,0,1,1,0,1,0,0,1,1,0,5,2.1,100510,15920,0.1583922,22800.98,208989,21308,0.101957519,583.13,344.83,233.31,0,0,30.0,1,-9.693466,6.8151464
887,252_3352,0,1,1,0,1,0,0,1,1,0,0,2.3,113401,23655,0.208596044,23038.74,265256,19088,0.071960672,564.17,330.38,238.65,0,0,0.0,1,-9.629242,6.895267
889,251_3352,0,1,1,0,1,0,0,1,1,0,4,2.1,512721,95727,0.18670388,23755.11,1069858,164665,0.153912949,593.37,329.89,236.15,0,0,22.0,1,-9.80924,6.591037
1219,12_560,1,1,1,0,1,0,0,1,1,0,4,2.1,118162,19219,0.162649583,22761.99,249167,24973,0.100225953,579.64,344.45,233.92,0,0,18.5,1,-9.699947,6.8094344
1369,37_251,0,1,1,0,1,0,0,1,1,0,0,2.1,1026350,190356,0.185468895,23684.49,2151230,320911,0.149175588,592.84,325.81,235.04,0,0,0.0,1,-9.925338,6.416938
1404,392_2859,0,1,1,0,0,0,0,1,0,0,4,2.1,974101,174744,0.179390022,23404.75,2037488,304343,0.149371677,590.12,322.17,231.24,0,0,32.0,1,-9.910976,6.4242067
1410,423_8952,0,0,0,0,0,0,0,1,0,1,0,2.2,151686,30914,0.203802592,23851.2,333003,41391,0.124296178,584.32,325.38,238.06,0,0,0.0,1,-9.331608,7.223515
1454,13_589,0,1,1,0,0,0,0,1,1,0,0,2.1,135524,22096,0.163041233,22673.93,287240,28380,0.098802395,577.14,343.12,232.86,0,0,0.0,1,-9.671728,6.8356256
1469,100_3563,1,1,1,0,1,0,0,1,1,0,0,2.1,116859,18983,0.162443629,22759.18,246310,24602,0.099882262,579.74,344.49,233.87,0,0,0.0,1,-9.685662,6.8275127
1470,99_3563,1,1,1,0,1,0,0,1,1,1,5,2.1,132612,21554,0.162534311,22668.3,280756,27742,0.09881178,577.35,343.1,232.75,0,0,32.5,1,-9.7240715,6.7820067
1625,489_6105,0,0,1,0,0,0,0,1,0,1,1,2.2,223654,45400,0.202992122,23932.74,484362,71131,0.146855038,586.07,325.91,237.36,0,0,7.0,1,-9.372533,7.1790576
1732,112_3847,0,1,1,0,1,0,0,1,1,1,0,2.1,129394,20996,0.162264093,22684.72,273452,27130,0.099213025,577.93,343.51,232.92,0,0,0.0,1,-9.677665,6.834984
1733,111_3847,0,1,1,0,1,0,0,1,1,0,5,2.1,94940,15469,0.162934485,23249.23,195140,21690,0.111150969,590.46,350.82,238.81,0,0,26.0,1,-9.707389,6.799225
1769,242_6598,0,0,0,1,0,0,0,1,0,0,5,2.4,63947,13145,0.205560855,22562.29,150495,8565,0.05691219,560.01,313.69,230.65,0,0,28.0,1,-9.404013,7.155621
1793,518_6947,0,0,1,0,0,0,0,1,1,0,4,2.2,137851,26555,0.192635527,23389.42,305352,27955,0.09155008,580.29,327.48,239.15,0,0,21.0,1,-9.623097,6.907159
1830,352_2566,0,1,1,0,0,0,0,1,0,0,5,2.1,1034589,191823,0.185409858,23688.3,2167096,322480,0.148807436,593.04,326.47,235.26,0,0,38.0,1,-9.894285,6.436837
1833,757_5373,1,0,1,0,0,0,0,1,1,1,0,2.1,1028715,190836,0.185509106,23691.13,2156056,321235,0.148991956,592.93,325.9,235.13,0,0,0.0,1,-9.89142,6.449291
1896,1116_7538,1,1,1,0,0,0,0,1,1,0,5,2.1,975832,174647,0.178972405,23341.02,2046399,297433,0.145344578,588.81,320.98,230.59,0,0,21.0,1,-9.860204,6.4844017
2107,549_7280,1,1,0,0,1,0,0,1,0,0,4,2.2,428445,79216,0.184891876,23192.68,927808,99600,0.107349797,582.72,326.23,234.43,0,0,28.0,1,-9.791439,6.6208124
2678,1220_7990,1,1,1,1,1,0,0,1,1,0,5,2.1,1044649,194520,0.186206085,23690.12,2193901,322558,0.147024866,592.54,325.79,235.29,0,0,26.0,1,-9.866931,6.4867735
2772,151_2048,0,0,0,0,0,0,0,1,0,1,0,2.3,74069,17022,0.229812742,24282.27,170752,13039,0.07636221,579.02,345.83,253.74,0,0,0.0,1,-9.352283,7.198899
2818,227_7171,0,1,0,0,0,0,0,1,0,1,4,2.1,135191,21893,0.161941253,22566.69,287333,27868,0.096988512,575.52,342.12,231.79,0,0,32.0,1,-9.57214,6.9769063
3135,635_4520,0,0,1,0,1,0,0,1,0,0,4,2.1,1041200,193914,0.186240876,23712.31,2184217,323332,0.148031079,593.07,326.01,235.47,0,0,26.5,1,-9.92477,6.3977027
3288,20_771,0,1,1,0,1,0,0,1,1,0,5,2.1,109636,17733,0.161744318,22848.34,229445,23187,0.101056898,582.21,345.92,234.61,0,0,22.0,1,-9.700564,6.808225
3318,485_6501,0,1,1,0,0,0,0,1,1,0,4,2.1,608990,110001,0.180628582,23307.9,1291084,161961,0.125445749,586.65,325.01,232.75,0,0,21.0,1,-9.806181,6.5883174
3489,781_5477,0,1,1,0,0,0,0,1,0,1,2,2.1,1070099,197511,0.184572642,23600.9,2250058,324334,0.144144729,591.47,325.7,234.67,0,0,16.0,1,-9.918425,6.412539
3544,770_5432,0,1,1,0,0,0,0,1,1,1,0,2.1,1036750,192728,0.185896311,23698.46,2174506,322409,0.148267699,592.89,325.91,235.27,0,0,0.0,1,-9.933074,6.400453
3573,254_6812,1,0,1,0,1,0,0,1,1,0,0,2.2,156361,31804,0.203401104,23812.22,343638,41679,0.121287518,583.74,324.93,237.72,0,0,0.0,1,-9.560673,6.953101
3618,150_2048,0,0,0,0,0,0,0,1,0,1,0,2.4,46340,9004,0.194302978,22179.11,109786,6312,0.05749367,548.75,333.28,230.97,0,0,0.0,1,-9.356262,7.2038426
3620,287_7348,0,0,1,0,0,0,0,1,0,1,0,2.6,41058,9881,0.240659555,22485.62,104753,6341,0.060532873,546.16,299.14,230.58,0,0,0.0,1,-9.378631,7.181066
3630,66_3841,0,0,0,0,0,0,0,1,0,0,0,2.4,116557,29477,0.252897724,24089.81,276478,19569,0.070779592,580.19,323.38,249.34,0,0,0.0,1,-9.343641,7.2103877
3631,65_3841,0,0,0,0,0,0,0,1,0,1,0,2.4,116557,29477,0.252897724,24089.81,276478,19569,0.070779592,580.19,323.38,249.34,0,0,0.0,1,-9.348256,7.206259
3652,328_7718,0,0,0,0,0,0,0,1,0,1,0,2.2,155116,31650,0.204040847,23827.77,341170,41796,0.122507841,583.81,325.17,238.01,0,0,0.0,1,-9.358786,7.195685
1,328_2350,0,0,0,1,1,1,0,0,0,0,4,2.1,935739,168291,0.179848227,23343.26,1966798,281130,0.142937912,588.54,320.36,230.66,1,1,20.0,1,12.234558,-13.009312
2,865_6285,0,0,0,1,0,1,0,0,0,1,0,2.1,1026235,189787,0.184935224,23674.18,2149624,320326,0.149014897,592.88,325.57,234.82,1,1,0.0,1,12.233197,-13.008242
4,342_2513,0,0,0,0,0,1,0,0,0,1,5,2.1,1093324,207590,0.189870523,23821.63,2302959,334940,0.145438977,593.56,327.75,237.41,1,1,33.0,1,12.201788,-12.97674
16,63_428,0,1,1,1,0,1,1,0,1,1,4,2.1,1031985,191393,0.185461029,23691.62,2162790,321702,0.148743983,592.99,325.8,235.11,1,1,36.0,1,12.497577,-13.268521
17,1225_8005,0,0,0,1,0,1,0,0,0,0,4,2.1,1074776,203043,0.188916574,23806.51,2259701,332359,0.147080963,593.74,327.52,237.02,1,1,32.0,1,12.262369,-13.037331
23,965_6800,0,1,1,1,0,1,1,0,0,1,4,2.1,1071647,202509,0.188969875,23805.83,2253484,331352,0.147039872,593.7,327.39,236.99,1,1,24.0,1,12.48786,-13.258966
32,803_5587,0,1,1,1,1,1,0,0,0,1,0,2.1,1043301,194510,0.186437088,23717.99,2189176,323734,0.147879385,593.08,326.08,235.57,1,1,0.0,1,12.235877,-13.010908
49,590_7647,0,1,0,1,0,1,0,0,0,0,4,2.1,473398,85767,0.181173136,23476.57,990276,133990,0.135305713,590.81,327.88,233.7,1,1,20.0,1,12.233926,-13.008895
69,158_1074,1,1,1,1,1,1,0,1,1,0,7,2.1,1070901,202249,0.188858727,23803.99,2251494,331195,0.147100103,593.72,327.38,236.96,0,0,68.0,1,12.253002,-13.0276
1187,1271_8200,1,1,0,1,1,0,1,0,0,0,4,2.1,1054437,196870,0.186706271,23694.31,2216986,323966,0.146129024,592.33,326.0,235.5,0,0,20.0,1,12.536122,-13.30668
1366,327_2350,0,0,0,1,1,1,0,0,0,0,0,2.1,1026203,189776,0.184930272,23673.95,2149553,320314,0.149014237,592.88,325.57,234.82,0,0,0.0,1,12.233615,-13.008732
1445,1099_7483,0,0,1,0,1,0,1,0,0,0,0,2.1,958241,176263,0.183944331,23696.29,1995023,305566,0.153164149,593.84,326.81,234.68,0,0,0.0,1,12.52678,-13.297472
1492,312_4155,1,0,1,0,0,1,0,0,0,1,0,2.1,943942,172921,0.183190281,23607.91,1972385,294613,0.149368911,592.06,325.47,233.82,0,0,0.0,1,12.229123,-13.004092
1493,587_4155,1,0,1,0,0,1,0,0,0,0,4,2.1,992999,182209,0.183493639,23621.37,2076649,307971,0.148301904,592.37,325.67,234.21,0,0,29.0,1,12.233379,-13.008269
1905,184_2513,0,0,0,0,0,1,0,0,0,1,0,2.3,58526,10373,0.177237467,22230.01,134000,8892,0.066358209,559.51,326.93,228.78,0,0,0.0,1,12.203098,-12.978193
2121,1035_7241,1,1,1,1,1,1,0,0,0,0,4,2.1,1053482,196692,0.18670656,23696.49,2214815,323704,0.146153968,592.37,325.98,235.49,0,0,36.0,1,12.251475,-13.026175
2682,1393_8738,1,1,1,1,1,1,0,0,1,0,7,2.1,1020007,187705,0.184023247,23635.11,2135917,317292,0.148550716,592.44,325.13,234.31,0,0,60.0,1,12.245548,-13.020315
2744,1302_8345,1,1,1,1,1,0,1,0,0,0,3,2.1,1088843,204818,0.188106091,23745.07,2293047,330319,0.144052433,592.7,326.87,236.44,0,0,18.0,1,12.5282135,-13.29889
2801,39_1074,1,1,1,1,1,1,0,1,1,1,5,2.2,150298,30538,0.20318301,23858.96,329369,41123,0.124853887,584.7,325.57,238.02,0,0,40.0,1,12.263258,-13.037852
3235,1187_7870,0,1,0,0,0,1,0,0,0,1,3,2.1,1045171,195705,0.187246872,23759.8,2191293,326829,0.149148927,593.63,327.3,236.21,0,0,24.0,1,12.228887,-13.003821
3533,861_6272,0,1,1,1,1,1,1,1,1,1,0,2.1,1028614,190806,0.185498156,23690.81,2155819,321210,0.148996739,592.93,325.9,235.13,0,0,0.0,1,12.495344,-13.266324
3627,1186_7870,0,1,0,0,0,1,0,0,0,1,0,2.1,1093324,207590,0.189870523,23821.63,2302959,334940,0.145438977,593.56,327.75,237.41,0,0,0.0,1,12.219096,-12.994162
